Age,Gender,Student,Game_Preference,Gaming_Frequency,Gaming_Hours_Per_Week,Analytical_Thinking,Logical_Thinking,Creative_Thinking,Problem_Solving_Skills,GPA,Academic_Performance_Impact,Educational_Benefits
30-39,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Prefer not to answer,Yes,Strategy,Several times a week,8 to 14 hours,Strongly Agree,Strongly Disagree,Agree,Agree,1,Yes,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Action,Several times a week,8 to 14 hours,Agree,Strongly Agree,Undecided,Agree,4,Yes,"Enhanced analytical thinking, memory"
30-39,Male,No,Strategy,Daily,8 to 14 hours,Undecided,Agree,Agree,Agree,5,Yes,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Puzzle,Several times a week,15 to 21 hours,Agree,Agree,Strongly Agree,Agree,3,No,No significant benefits
18-29,Male,Yes,Adventure,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,1,No,"Improved planning, analytical skills"
18-29,Female,Yes,Action,Several times a week,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,3,No,"Improved planning, analytical skills"
30-39,Female,Yes,Adventure,Several times a year,8 to 14 hours,Agree,Strongly Agree,Agree,Agree,3,Yes,"Improved reaction time, teamwork"
18-29,Male,Yes,Strategy,Daily,8 to 14 hours,Agree,Agree,Strongly Agree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Strategy,Several times a week,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,4,Yes,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Adventure,Several times a month,Less than 7 hours,Undecided,Strongly Agree,Strongly Agree,Strongly Agree,3,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Adventure,Several times a week,8 to 14 hours,Agree,Strongly Agree,Undecided,Agree,3,No,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Puzzle,Daily,8 to 14 hours,Agree,Undecided,Agree,Disagree,3,Yes,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Action,Several times a week,Less than 7 hours,Agree,Agree,Agree,Undecided,5,No,"Improved problem-solving, logical thinking"
18-29,Female,Yes,Action,Daily,Less than 7 hours,Strongly Agree,Undecided,Agree,Strongly Agree,4,No,"Enhanced creativity, problem-solving"
30-39,Male,Yes,Puzzle,Daily,8 to 14 hours,Agree,Agree,Strongly Agree,Strongly Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Agree,Agree,Undecided,Agree,3,No,"Improved planning, analytical skills"
18-29,Male,Yes,Puzzle,Several times a month,8 to 14 hours,Agree,Strongly Disagree,Strongly Agree,Agree,4,Yes,"Enhanced analytical thinking, memory"
40-49,Prefer not to answer,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Action,Several times a month,15 to 21 hours,Agree,Agree,Agree,Disagree,3,Yes,"Improved planning, analytical skills"
18-29,Male,Yes,Action,Daily,Less than 7 hours,Agree,Strongly Agree,Agree,Agree,5,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Strategy,Several times a week,8 to 14 hours,Agree,Agree,Disagree,Agree,3,No,"Improved strategic thinking, decision-making"
18-29,Prefer not to answer,Yes,Puzzle,Several times a week,8 to 14 hours,Agree,Strongly Agree,Strongly Agree,Agree,5,No,"Improved problem-solving, logical thinking"
30-39,Male,Yes,Puzzle,Daily,More than 21 hours,Strongly Disagree,Agree,Strongly Agree,Agree,3,Yes,"Improved planning, analytical skills"
18-29,Female,Yes,Action,Several times a week,8 to 14 hours,Agree,Agree,Undecided,Undecided,2,No,"Improved focus, hand-eye coordination"
30-39,Male,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Agree,Strongly Agree,4,No,"Improved planning, analytical skills"
40-49,Male,Yes,Strategy,Several times a week,15 to 21 hours,Agree,Strongly Agree,Agree,Strongly Agree,3,Yes,"Improved reaction time, teamwork"
18-29,Prefer not to answer,Yes,Action,Several times a year,8 to 14 hours,Strongly Agree,Agree,Undecided,Strongly Agree,3,Yes,"Enhanced creativity, problem-solving"
30-39,Male,Yes,Strategy,Several times a week,15 to 21 hours,Agree,Agree,Agree,Agree,3,No,"Improved strategic thinking, decision-making"
40-49,Male,Yes,Puzzle,Several times a month,Less than 7 hours,Agree,Strongly Agree,Agree,Disagree,4,No,"Improved strategic thinking, decision-making"
18-29,Prefer not to answer,Yes,Action,Several times a month,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Improved planning, analytical skills"
30-39,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Agree,Agree,Undecided,Strongly Agree,3,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Strategy,Daily,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,4,Yes,"Improved strategic thinking, decision-making"
18-29,Female,Yes,Strategy,Daily,8 to 14 hours,Agree,Agree,Agree,Agree,3,No,"Improved planning, analytical skills"
18-29,Male,Yes,Puzzle,Several times a week,More than 21 hours,Agree,Agree,Undecided,Agree,5,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Puzzle,Daily,Less than 7 hours,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3,No,"Enhanced analytical thinking, memory"
30-39,Male,Yes,Adventure,Daily,15 to 21 hours,Agree,Strongly Agree,Strongly Agree,Strongly Agree,4,Yes,No significant benefits
18-29,Male,Yes,Puzzle,Several times a month,15 to 21 hours,Agree,Undecided,Undecided,Agree,2,No,No significant benefits
18-29,Female,Yes,Puzzle,Several times a year,8 to 14 hours,Strongly Agree,Strongly Agree,Undecided,Agree,4,No,"Improved focus, hand-eye coordination"
18-29,Female,Yes,Puzzle,Daily,Less than 7 hours,Agree,Agree,Undecided,Agree,1,No,"Improved focus, hand-eye coordination"
18-29,Prefer not to answer,Yes,Strategy,Several times a month,Less than 7 hours,Agree,Agree,Agree,Agree,5,No,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Puzzle,Daily,8 to 14 hours,Agree,Agree,Undecided,Agree,3,No,"Improved planning, analytical skills"
30-39,Male,Yes,Puzzle,Daily,8 to 14 hours,Agree,Undecided,Undecided,Agree,3,No,No significant benefits
18-29,Female,Yes,Puzzle,Several times a month,Less than 7 hours,Agree,Agree,Strongly Agree,Disagree,3,No,"Improved reaction time, teamwork"
30-39,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Strongly Agree,Agree,Agree,Strongly Agree,3,No,"Improved problem-solving, logical thinking"
18-29,Female,Yes,Action,Several times a week,8 to 14 hours,Strongly Agree,Strongly Agree,Strongly Agree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Action,Several times a month,8 to 14 hours,Agree,Disagree,Undecided,Agree,3,Yes,No significant benefits
30-39,Male,Yes,Action,Several times a year,Less than 7 hours,Agree,Agree,Undecided,Agree,3,No,"Enhanced creativity, problem-solving"
30-39,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,3,No,No significant benefits
30-39,Female,Yes,Puzzle,Daily,Less than 7 hours,Agree,Agree,Undecided,Agree,4,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Adventure,Several times a week,15 to 21 hours,Strongly Agree,Agree,Agree,Agree,3,No,"Enhanced creativity, problem-solving"
30-39,Male,Yes,Action,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,1,Yes,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Strategy,Several times a week,Less than 7 hours,Strongly Disagree,Agree,Agree,Strongly Agree,3,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Adventure,Several times a week,More than 21 hours,Agree,Agree,Undecided,Strongly Agree,4,Yes,"Improved focus, hand-eye coordination"
18-29,Female,Yes,Action,Several times a week,8 to 14 hours,Agree,Agree,Undecided,Disagree,2,No,"Improved focus, hand-eye coordination"
18-29,Female,Yes,Puzzle,Daily,More than 21 hours,Strongly Agree,Agree,Agree,Disagree,1,No,"Improved focus, hand-eye coordination"
30-39,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,4,Yes,"Enhanced creativity, problem-solving"
18-29,Prefer not to answer,Yes,Puzzle,Daily,More than 21 hours,Agree,Strongly Agree,Strongly Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Female,Yes,Strategy,Daily,Less than 7 hours,Agree,Disagree,Strongly Agree,Agree,4,No,"Improved problem-solving, logical thinking"
30-39,Female,Yes,Strategy,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,2,Yes,No significant benefits
18-29,Female,Yes,Adventure,Daily,8 to 14 hours,Agree,Strongly Agree,Agree,Agree,1,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Puzzle,Daily,8 to 14 hours,Strongly Agree,Disagree,Agree,Agree,3,No,"Improved planning, analytical skills"
18-29,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Prefer not to answer,Yes,Strategy,Several times a week,8 to 14 hours,Disagree,Agree,Undecided,Agree,4,No,"Improved problem-solving, logical thinking"
30-39,Female,Yes,Strategy,Daily,8 to 14 hours,Agree,Strongly Disagree,Agree,Agree,3,Yes,"Improved strategic thinking, decision-making"
18-29,Prefer not to answer,Yes,Strategy,Several times a week,15 to 21 hours,Undecided,Agree,Agree,Agree,4,No,"Improved problem-solving, logical thinking"
18-29,Female,Yes,Action,Daily,15 to 21 hours,Agree,Agree,Agree,Agree,4,Yes,No significant benefits
30-39,Female,Yes,Action,Several times a week,15 to 21 hours,Agree,Strongly Agree,Disagree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Puzzle,Several times a month,8 to 14 hours,Disagree,Undecided,Disagree,Undecided,3,Yes,"Improved planning, analytical skills"
40-49,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Strongly Agree,Agree,5,No,"Improved focus, hand-eye coordination"
18-29,Female,Yes,Strategy,Several times a week,Less than 7 hours,Undecided,Agree,Agree,Disagree,4,No,"Improved strategic thinking, decision-making"
30-39,Female,Yes,Adventure,Daily,8 to 14 hours,Undecided,Strongly Agree,Agree,Agree,3,No,"Improved strategic thinking, decision-making"
18-29,Female,Yes,Action,Daily,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Improved focus, hand-eye coordination"
40-49,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,2,Yes,"Enhanced analytical thinking, memory"
18-29,Female,Yes,Strategy,Several times a week,8 to 14 hours,Strongly Agree,Strongly Agree,Undecided,Agree,3,No,"Improved reaction time, teamwork"
18-29,Female,Yes,Strategy,Several times a week,Less than 7 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,5,No,"Improved reaction time, teamwork"
18-29,Female,Yes,Strategy,Several times a month,Less than 7 hours,Agree,Strongly Disagree,Agree,Agree,4,No,No significant benefits
18-29,Female,Yes,Adventure,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Adventure,Daily,More than 21 hours,Agree,Agree,Agree,Agree,4,No,"Improved reaction time, teamwork"
18-29,Male,Yes,Strategy,Several times a month,Less than 7 hours,Agree,Agree,Strongly Agree,Undecided,1,No,"Improved reaction time, teamwork"
40-49,Female,Yes,Adventure,Several times a week,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Improved strategic thinking, decision-making"
18-29,Prefer not to answer,Yes,Puzzle,Several times a month,Less than 7 hours,Agree,Agree,Agree,Agree,1,No,"Improved planning, analytical skills"
18-29,Male,Yes,Puzzle,Several times a month,15 to 21 hours,Agree,Disagree,Strongly Agree,Strongly Disagree,3,No,"Improved planning, analytical skills"
18-29,Male,Yes,Action,Several times a year,Less than 7 hours,Strongly Agree,Undecided,Undecided,Agree,3,No,"Enhanced analytical thinking, memory"
18-29,Female,Yes,Strategy,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,3,No,"Improved reaction time, teamwork"
18-29,Female,Yes,Puzzle,Daily,15 to 21 hours,Strongly Agree,Agree,Agree,Undecided,3,No,No significant benefits
18-29,Male,Yes,Puzzle,Several times a week,Less than 7 hours,Agree,Agree,Agree,Agree,3,No,"Improved problem-solving, logical thinking"
18-29,Female,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Agree,Undecided,4,No,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Action,Daily,8 to 14 hours,Strongly Agree,Strongly Disagree,Agree,Agree,3,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Action,Daily,8 to 14 hours,Undecided,Strongly Agree,Agree,Agree,1,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Puzzle,Daily,15 to 21 hours,Strongly Agree,Strongly Agree,Agree,Agree,4,No,"Enhanced creativity, problem-solving"
18-29,Prefer not to answer,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,3,No,"Improved problem-solving, logical thinking"
30-39,Male,Yes,Strategy,Several times a month,8 to 14 hours,Agree,Agree,Agree,Agree,3,No,"Enhanced creativity, problem-solving"
40-49,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Strongly Agree,Undecided,Agree,3,No,"Improved reaction time, teamwork"
40-49,Female,Yes,Puzzle,Several times a week,8 to 14 hours,Agree,Strongly Agree,Agree,Disagree,4,No,No significant benefits
18-29,Male,Yes,Action,Several times a month,Less than 7 hours,Agree,Strongly Agree,Strongly Agree,Agree,4,Yes,No significant benefits
18-29,Male,Yes,Strategy,Several times a week,Less than 7 hours,Strongly Agree,Strongly Agree,Agree,Agree,4,No,No significant benefits
18-29,Female,Yes,Puzzle,Daily,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,5,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Action,Several times a week,Less than 7 hours,Agree,Undecided,Agree,Agree,1,Yes,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Puzzle,Daily,Less than 7 hours,Agree,Agree,Disagree,Disagree,3,No,"Improved problem-solving, logical thinking"
30-39,Prefer not to answer,Yes,Puzzle,Several times a week,Less than 7 hours,Strongly Agree,Agree,Undecided,Agree,4,Yes,"Improved reaction time, teamwork"
18-29,Female,Yes,Adventure,Several times a week,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,1,No,"Improved reaction time, teamwork"
18-29,Female,No,Action,Several times a month,8 to 14 hours,Strongly Agree,Undecided,Agree,Agree,4,Yes,"Improved problem-solving, logical thinking"
30-39,Female,Yes,Action,Daily,Less than 7 hours,Agree,Strongly Disagree,Undecided,Agree,2,No,"Enhanced analytical thinking, memory"
30-39,Female,Yes,Adventure,Daily,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Improved problem-solving, logical thinking"
18-29,Male,Yes,Strategy,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,4,No,"Improved planning, analytical skills"
18-29,Male,Yes,Puzzle,Daily,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,3,No,"Improved focus, hand-eye coordination"
30-39,Male,Yes,Puzzle,Several times a month,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,2,No,"Enhanced creativity, problem-solving"
18-29,Male,Yes,Adventure,Several times a week,15 to 21 hours,Undecided,Agree,Agree,Strongly Agree,5,No,"Improved reaction time, teamwork"
18-29,Male,Yes,Adventure,Several times a week,15 to 21 hours,Agree,Agree,Undecided,Agree,3,Yes,"Improved planning, analytical skills"
18-29,Male,Yes,Adventure,Several times a month,Less than 7 hours,Agree,Strongly Agree,Strongly Agree,Disagree,3,No,"Improved strategic thinking, decision-making"
18-29,Female,Yes,Puzzle,Several times a week,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,3,Yes,No significant benefits
30-39,Female,Yes,Strategy,Daily,Less than 7 hours,Agree,Undecided,Agree,Strongly Agree,3,No,"Improved reaction time, teamwork"
30-39,Female,Yes,Puzzle,Several times a month,More than 21 hours,Agree,Undecided,Agree,Agree,4,No,"Improved strategic thinking, decision-making"
30-39,Male,Yes,Action,Several times a week,8 to 14 hours,Agree,Agree,Strongly Agree,Agree,4,No,No significant benefits
18-29,Female,Yes,Strategy,Daily,Less than 7 hours,Undecided,Agree,Agree,Agree,3,No,"Improved reaction time, teamwork"
18-29,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Undecided,Agree,Agree,Undecided,3,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Action,Daily,15 to 21 hours,Agree,Agree,Disagree,Agree,4,No,"Improved problem-solving, logical thinking"
30-39,Male,Yes,Action,Several times a week,More than 21 hours,Agree,Agree,Agree,Disagree,3,No,"Improved problem-solving, logical thinking"
18-29,Female,Yes,Action,Several times a month,Less than 7 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Agree,Agree,Agree,Disagree,2,No,"Improved problem-solving, logical thinking"
30-39,Female,Yes,Puzzle,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Improved problem-solving, logical thinking"
30-39,Male,Yes,Strategy,Daily,8 to 14 hours,Agree,Agree,Agree,Agree,4,No,"Improved focus, hand-eye coordination"
18-29,Male,Yes,Action,Daily,Less than 7 hours,Strongly Agree,Strongly Agree,Strongly Agree,Undecided,4,No,"Enhanced creativity, problem-solving"
30-39,Male,Yes,Strategy,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,3,No,"Improved reaction time, teamwork"
18-29,Male,Yes,Action,Several times a week,8 to 14 hours,Agree,Agree,Agree,Agree,4,No,"Enhanced creativity, problem-solving"
30-39,Prefer not to answer,Yes,Strategy,Daily,Less than 7 hours,Strongly Agree,Agree,Agree,Strongly Agree,3,No,"Improved strategic thinking, decision-making"
18-29,Female,Yes,Strategy,Daily,Less than 7 hours,Agree,Undecided,Disagree,Agree,3,No,"Improved planning, analytical skills"
18-29,Prefer not to answer,Yes,Puzzle,Several times a month,Less than 7 hours,Agree,Agree,Agree,Strongly Agree,3,No,"Improved reaction time, teamwork"
30-39,Male,Yes,Puzzle,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,5,No,"Enhanced creativity, problem-solving"
18-29,Female,Yes,Puzzle,Several times a week,8 to 14 hours,Strongly Agree,Agree,Agree,Agree,4,No,"Improved reaction time, teamwork"
18-29,Female,Yes,Adventure,Several times a month,Less than 7 hours,Agree,Undecided,Strongly Agree,Disagree,4,No,"Enhanced analytical thinking, memory"
30-39,Male,Yes,Puzzle,Several times a month,8 to 14 hours,Agree,Strongly Agree,Agree,Agree,5,No,"Enhanced creativity, problem-solving"
30-39,Prefer not to answer,Yes,Strategy,Several times a week,Less than 7 hours,Agree,Agree,Undecided,Agree,3,No,No significant benefits
30-39,Male,Yes,Puzzle,Daily,15 to 21 hours,Undecided,Agree,Strongly Agree,Agree,2,Yes,No significant benefits
18-29,Male,Yes,Puzzle,Several times a week,8 to 14 hours,Undecided,Strongly Agree,Agree,Agree,3,Yes,"Enhanced analytical thinking, memory"
18-29,Male,Yes,Action,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,4,No,"Improved strategic thinking, decision-making"
18-29,Male,Yes,Action,Daily,15 to 21 hours,Strongly Agree,Strongly Agree,Undecided,Agree,4,No,"Improved problem-solving, logical thinking"
18-29,Prefer not to answer,Yes,Puzzle,Daily,Less than 7 hours,Agree,Agree,Agree,Agree,3,No,No significant benefits
18-29,Male,Yes,Adventure,Daily,8 to 14 hours,Agree,Agree,Strongly Agree,Agree,5,No,"Enhanced creativity, problem-solving"
